Round,Player,Team,Age,POS1,POS2,Price,Priced at,PTS,MP,AVG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,,Total base,,Base exceeds price premium
1,T. Da Silva,WST,,HOK,,332000,24.59,30,46,30,,,,,,,,29,2,-12,,,,8,,4,,1,-2,,,,,,,24,,-0.5899999999999999
1,S. Turuva,WST,,WFB,,516000,38.22,27,80,27,,,,,,,,7,4,-4,,,,4,,16,,,,,,,,,,23,,-15.219999999999999
1,S. Faataape,WST,,CTR,,287000,21.26,26,80,26,,5,,,,,,17,2,-8,,,,4,,6,,,,,,,,,,17,,-4.260000000000002
1,J. Bird,WST,,EDG,CTR,362000,26.81,25,52,25,,,,,,,,27,4,-12,,,-2,,,8,,,,,,,,,,25,,-1.8099999999999987
1,J. Hetherington,NEW,,MID,,328000,24.30,23,22,23,,,,,,,,18,2,,,,-2,,,5,,,,,,,,,,23,,-1.3000000000000007
1,H. Mason,WST,,WFB,,291000,21.56,23,80,23,,,,,,,,3,6,-6,2,,-2,,,17,,3,,,,,,,,23,,1.4400000000000013
1,F. Pole,WST,,MID,,462000,34.22,19,44,19,,,,,,,,25,,-14,,,,,,8,,,,,,,,,,19,,-15.219999999999999
1,T. Hope,WST,,HOK,,230000,17.04,17,34,17,,,,,,,,19,,-4,,,,,,2,,,,,,,,,,17,,-0.03999999999999915
1,R. Hunt,WST,,MID,,275000,20.37,15,30,15,,,,,,,,13,,-2,,,,,,6,,,-2,,,,,,,17,,-3.370000000000001
1,B. Jones,NEW,,EDG,,343000,25.41,13,15,13,,,,,,,,15,,-4,,,,,,2,,,,,,,,,,13,,-12.41
1,S. Fainu,WST,,MID,,358000,26.52,12,15,12,,,,,,,,10,,,,,,,,2,,,,,,,,,,12,,-14.52
1,J. Humphreys,SOU,,HLF,,350000,25.93,75,80,75,,,4,,5,,,30,,,,4,,4,,4,24,,,,,,,,,68.5,,42.57
1,J. Arrow,SOU,,MID,EDG,607000,44.96,66,80,66,,,,,,,,42,6,,,,,8,,9,,1,,,,,,,,58,,13.04
1,J. Isaako,DOL,,WFB,,510000,37.78,66,80,66,16,5,2,,,8,,5,4,,,4,,,,17,,5,,,,,,,,42,,4.219999999999999
1,T. Gilbert,DOL,,MID,EDG,500000,37.04,65,56,65,,,,,,,,59,2,-6,,4,,,,9,,,-2,,,,-1,,,68,,30.96
1,K. Koloamatangi,SOU,,MID,EDG,692000,51.26,63,80,63,,,,,,,,28,12,-4,,8,,,,18,,1,,,,,,,,63,,11.740000000000002
1,M. Plath,DOL,,HOK,MID,695000,51.48,62,80,62,8,,,,,4,,43,4,-2,,,-2,,,9,,,-2,,,,,,,52,,0.5200000000000031
1,H. Farnworth,DOL,,CTR,,734000,54.37,56,80,56,,,,,5,,2,22,6,-4,,12,-2,,,17,,,-2,,,,,,,51,,-3.3699999999999974
1,H. Tabuai-Fidow,DOL,,WFB,,589000,43.63,55,80,55,,,,,5,,4,4,18,,,4,-2,,,22,,,,,,,,,,48.5,,4.869999999999997
1,J. Marshall-King,DOL,,HOK,,590000,43.70,53,69,53,,,,,,,,55,,-2,,,,,,,,,,,,,,,,53,,9.299999999999997
1,I. Katoa,DOL,,HLF,,552000,40.89,50,80,50,,,,,5,,2,28,,-2,,,,,,5,12,,,,,,,,,45.5,,4.609999999999999
1,J. Gray,SOU,,HLF,WFB,545000,40.37,46,80,46,,,,,5,,2,6,8,-2,,4,-4,,,21,,4,,,,,,2,,41.5,,1.1300000000000026
1,T. Duncan,SOU,,MID,,451000,33.41,44,57,44,,,,,,,,36,4,-4,,,-4,,,12,,,,,,,,,,44,,10.590000000000003
