Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
S. Cobbo
BRI v SOU | WFB, CTR
P. Haas
BRI v SOU | MID
$777K  |  -$103k ( -$119k ), -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,, -$119k ,54,60.9,,,,,,,,,24,12,,,,,,,18,,,,,,,,
A. Reynolds
BRI v SOU | HLF
$635K  |  -$70k ( -$79k ), -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,, -$79k ,54,46.6,,,,4,,5,,,19,10,,,4,-4,,,9,6,1,,,,,,
L. Mitchell
SOU @ BRI | WFB
$841K  |  $94k ( $61k ), $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,, $61k ,53,59.7,,8,5,6,,,4,2,6,10,-8,2,,,,,17,,1,,,,,,
C. Murray
SOU @ BRI | MID
$745K  |  -$42k ( -$49k ), -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,, -$49k ,52,55.2,,,,,,,,,47,4,-6,,,-2,4,,7,,,-2,,,,,
T. Tatola
SOU @ BRI | MID
$502K  |  $17k ( $20k ), $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,, $20k ,40,34.5,,,,,,,,,35,2,-8,,,,,,11,,,,,,,,
B. Piakura
BRI v SOU | EDG
$422K  |  $23k ( $56k ), $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,, $56k ,40,29.6,,,,,,,,,26,8,-6,,,-2,4,,10,,,,,,,,
C. Walker
SOU @ BRI | HLF
