Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
L. Mitchell
SOU @ MAN | WFB
$292K  |  -$52k ( -$52k ), -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,, -$52k ,40,25.9,,,,,,5,4,,4,8,-2,,,-6,4,,19,,4,,,,,,
D. Tupou
SYD v BRI | WFB
$595K  |  $111k ( $111k ), $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,, $111k ,36,40.6,,,,,,,4,,4,6,,,4,-4,,,18,,4,,,,,,
N. Butcher
SYD v BRI | MID, EDG
$584K  |  -$157k ( -$157k ), -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,, -$157k ,34,47.8,,,,,,,4,,20,2,,,4,,,,4,,,,,,,,
S. Cobbo
BRI @ SYD | WFB, CTR
$503K  |  -$65k ( -$65k ), -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,, -$65k ,34,41.2,,,,,,,,2,6,10,-8,,12,-2,,,13,,1,,,,,,
F. Pauga
SYD v BRI | CTR, WFB
$441K  |  -$28k ( -$28k ), -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,, -$28k ,34,33.6,,8,,,,,4,,3,6,-2,,,-2,,,16,,1,,,,,,
B. Walters
BRI @ SYD | HOK, HLF
$436K  |  -$18k ( -$18k ), -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,, -$18k ,33,31.9,,,,,,,,,35,,-6,,,,,,5,1,,-2,,,,,
D. Mariner
BRI @ SYD | CTR, WFB
